timestamp	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	gamma	beta	state
189	1.4406130118944924	-0.5266236105558313	-0.3377411702568751	-0.28822909187894213	0.42817342891210625	0.11969022084178133	3
190	1.4383618697960276	-0.38632819587478406	-0.19058980724164531	-0.5020346346277736	1.6827796846113499	1.1718216079807557	3
191	1.447683931624411	-0.4351011698817823	-0.24094194611170996	-0.34259632259858475	0.7136084457169533	0.5735981347757747	3
192	1.4945921400803668	-0.5703596256708249	-0.6152912379032233	-0.4012411095164026	-0.3837860871797755	-0.40765549800464035	0
193	1.615455077466239	-0.6485076005697549	-0.6727392279920442	-0.5939843652322248	-0.36018554977514133	-0.3358009168478836	0
194	1.793430717130561	-0.6293463059919765	-0.4394703169756674	-0.5232190884626808	-0.44724414708077903	-0.24758750889099335	0
195	1.9786224143732059	-0.5904656465245103	-0.3977558367779725	-0.38278884525326196	-0.5090062075668608	-0.28288224766248	0
196	2.1441155685418174	-0.6618044515024187	-0.6309748820585752	-0.0909128293132608	-0.6070833911013284	-0.5437255456495735	0
197	2.27623737691662	-0.6580891453599764	-0.6192680409338646	-0.030754556643961792	-0.7654415798909245	-0.6223799662223064	0
198	2.3712570494760206	-0.5826530907225398	-0.25467875594008377	-0.2778661221348054	-0.6470571512553811	-0.26904706713454096	0
199	2.436325135431644	-0.6055503453521437	-0.14775996004754782	-0.4034720808186346	-0.6280683561651204	-0.4877877956946208	0
200	2.4970045921354767	-0.6549850068539823	-0.418441660339524	-0.4056523358694293	-0.6220750931716517	-0.8152242571925722	0
201	2.6027659207925904	-0.41257530424436195	-0.4347766728959956	-0.5352154622974695	-0.49511679972587475	-0.3432315350648465	0
202	2.774836752185225	-0.07236105938153074	-0.2134719191214638	-0.5535772827503198	0.18762914518542187	0.4512281231353994	3
203	2.9796471078480065	-0.31369822923495505	-0.3559432080769669	-0.30008036027243085	1.1320877058721681	0.7207827302314527	3
204	3.17487347802851	-0.6602874747679678	-0.6439859268063507	-0.24179889816043085	3.9638969418570302	2.0900197847126463	3
205	3.326155642839428	-0.6734110341473535	-0.7570352408978951	-0.3047875102580198	4.775396443482526	2.8871464837746594	3
206	3.406352241655837	-0.627301843809211	-0.8262776302933543	-0.5393165754091935	2.963203251271743	1.8184921000698742	3
207	3.3989095973424295	-0.6021343474909407	-0.6372553818043752	-0.31205600641365666	2.509889622449798	1.4019385198538301	3
208	3.2966819623494037	-0.4448822580802626	-0.3385151673890681	-0.08518427646528494	2.13136009564766	1.418170741432908	3
209	3.1011335628965555	0.09847180376056099	0.6252297611475235	-0.21382239815406526	2.1551756709702237	1.5916811796206332	3
210	2.821383512206687	0.24243876100376233	0.8971015683000761	-0.21669739445734104	2.2519591395617016	1.466716846179843	3
211	2.4726549841366707	-0.36417862073682095	-0.2060480327294831	-0.16431965998457476	1.886717434041295	0.8568814610907428	3
212	2.074363114088382	-0.6680981142129121	-0.556298177781577	-0.11131717964206693	1.7118026572794784	0.912631471958456	3
213	1.6482065722534887	-0.6188820756369963	-0.5576596575541992	0.0031996612034581704	2.1801766930360746	1.203227942493408	3
214	1.2166920252762827	-0.6228464354415458	-0.6610351107307554	-0.14464176594387895	1.9721586452691837	1.1555102649676452	3
215	0.8026128584224909	-0.6248715803737336	-0.5755465897858276	-0.47375408861228185	1.0749365675566118	0.5772631624712478	3
216	0.4303695555691342	-0.6155354408991852	-0.4498978617077954	-0.2077643302242491	0.5331533202797606	-0.09620053917202782	3
