time,cr_v,cr_a
21.21,0.53309375,0.14565625000000001
21.24,0.52928125,0.1383125
21.28,0.52928125,0.134625
21.31,0.52934375,0.13168749999999999
21.34,0.5294687499999999,0.12846875
21.38,0.5293125,0.12521875
21.41,0.52925,0.12184375
21.44,0.528625,0.1183125
21.48,0.52784375,0.1154375
21.51,0.52721875,0.11484375
21.54,0.52634375,0.1149375
21.58,0.52578125,0.11484375
21.61,0.525125,0.11496875
21.64,0.52434375,0.11771875
21.68,0.523625,0.12334375
21.71,0.52290625,0.128875
21.74,0.52228125,0.134125
21.78,0.52165625,0.13640625
21.81,0.52096875,0.13903125
21.84,0.5204375,0.14134375
21.88,0.52009375,0.14140625
21.91,0.51971875,0.135625
21.95,0.51934375,0.12978125000000001
21.98,0.51871875,0.12734375
22.01,0.51525,0.1285625
22.05,0.50996875,0.1296875
22.08,0.5050312499999999,0.130375
22.11,0.4998125,0.1325625
22.15,0.497,0.138375
22.18,0.4943125,0.14409375000000002
22.21,0.48990625,0.1484375
22.25,0.48578125,0.1514375
22.28,0.4834375,0.15134375
22.31,0.48184375,0.150875
22.35,0.48153124999999997,0.149375
22.38,0.48128125,0.148125
22.41,0.48103125,0.1478125
22.45,0.4790625,0.1459375
22.48,0.4724375,0.1405625
22.51,0.4651875,0.13653125
22.55,0.45787500000000003,0.13290625
22.58,0.45446875,0.13284374999999998
22.61,0.45065625,0.13490625
22.65,0.44634375,0.13724999999999998
22.68,0.44209375,0.13959375
22.71,0.4383125,0.142
22.75,0.4335625,0.14125
22.78,0.42884375,0.14040625
22.81,0.42421875,0.13965625
22.85,0.42259375,0.13890625
22.88,0.4218125,0.13828125
22.91,0.42125,0.1375625
22.95,0.42103124999999997,0.137125
22.98,0.42071875,0.1370625
23.01,0.42046875,0.137125
23.05,0.42028125,0.13734375
23.08,0.4201875,0.1386875
23.11,0.42246875,0.14015624999999998
23.15,0.42471875,0.14190625
23.18,0.42678125,0.1430625
23.21,0.4258125,0.14321875
23.25,0.4215,0.144875
23.28,0.41753124999999996,0.14734375
23.31,0.41384375,0.15125
23.35,0.41284375,0.15484375
23.38,0.41278125,0.1576875
23.41,0.415,0.16040625
23.45,0.41796875,0.1631875
23.48,0.42090625,0.1663125
23.51,0.4238125,0.16965625
23.55,0.425375,0.175125
23.58,0.42453124999999997,0.17934375
23.61,0.42309375,0.18325
23.65,0.421,0.18503125
23.68,0.41959375,0.18359375
23.71,0.419375,0.183625
23.75,0.419375,0.1836875
23.78,0.41946875,0.18421875
23.81,0.42228125,0.18109375
23.85,0.428875,0.1764375
23.88,0.435625,0.1725
23.91,0.44296875,0.1700625
23.95,0.44934375,0.1674375
23.98,0.4546875,0.16503125
24.01,0.45990625,0.1623125
24.05,0.46349999999999997,0.1613125
24.08,0.45881249999999996,0.164125
24.11,0.4538125,0.166625
24.15,0.44937499999999997,0.16709374999999999
24.18,0.4475625,0.1664375
24.21,0.44925,0.16415625
24.25,0.4516875,0.16343749999999999
24.28,0.455125,0.16446875
24.31,0.4575625,0.16671875
24.35,0.45984375,0.168875
24.38,0.45946875,0.169125
24.41,0.4589375,0.1719375
24.45,0.4584375,0.17446875
24.48,0.45859375,0.17781249999999998
24.51,0.459125,0.1834375
24.55,0.45884375,0.18953124999999998
24.58,0.45853125,0.19571875
24.61,0.4509375,0.19634374999999998
24.65,0.443375,0.19296875
24.68,0.4369375,0.18765625
24.71,0.4304375,0.1823125
24.75,0.42943749999999997,0.1814375
24.78,0.42974999999999997,0.1813125
24.81,0.43003125,0.18109375
24.85,0.43009375,0.1809375
24.88,0.42978125,0.18096875
24.91,0.4295,0.18121874999999998
24.95,0.4291875,0.18134375
