timestamp	ibi	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	beta	gamma	state
444	0.26787701875286635	0.44070945138410583	-0.13921993299083607	-0.12932562720481655	-0.22543138170158142	-0.36542896483944814	-0.4037051598942012	3
445	0.7116903807851962	0.4681434832863267	-0.09253383377676833	-0.13471063354420476	0.27166845697376446	-0.029167386856839273	-0.2514489343518522	3
446	0.46268433782384016	0.4902635530530581	-0.6331584186333988	-0.6913891941533319	0.21290528661053568	-0.8489452945758089	-0.6794170247680159	3
447	-0.4541909334479597	0.5113798964671724	-0.7222678480230007	-0.7410182316080182	0.061996529978314924	-0.6812499437292295	-0.5735527484416166	3
448	-0.3653779337448742	0.5311548716701848	-0.008267202484582287	-0.04353850382632377	0.7513746609353457	0.4087297468195603	-0.25865038162250864	0
449	-0.5607145282185124	0.5422175510053816	0.29138296667051883	0.1806915398206903	1.1129473137494343	0.116142582312749	-0.3463441811701802	0
450	-0.9728141442988076	0.542184400582865	-0.4571003399396227	-0.568228117185402	0.25468509947902723	-0.4763903416009591	-0.525469376753538	3
451	-1.402763174906347	0.5365906257288242	-0.7265139757470737	-0.9232902705052005	-0.5241840910429683	-0.8715659866461315	-0.6450602262408078	3
452	-0.803198992328833	0.5405259043870169	-0.7916775555371297	-0.8857561011542681	-0.7224924400737185	-1.2005327099256402	-0.5615527788951865	3
453	-0.06415354601438315	0.5573636714962885	-0.9216281020614866	-0.8112328760476656	-0.6583347565685564	-1.297045432000546	-0.4672272704523026	3
454	1.1397844311189755	0.5781084576550848	-0.8657522630829964	-0.7192473662733512	-0.31487784740063435	-1.6696230798291314	-0.44511657649732	3
455	1.3972018429185713	0.61081395309131	-0.964178421764364	-0.855881636268053	-0.382952932686819	-1.8075208188725853	-0.5409034997092319	3
456	0.4894894947809141	0.6589376222305338	-0.949510297468242	-0.8578354205028228	-0.6584999174207361	-1.562754111401226	-0.7179657862058443	3
457	0.0051555292856871405	0.7105446730943276	-0.6053369375277713	-0.6118666683143583	-0.6503764093301	-1.0902259814435187	-0.6005417684815937	3
458	0.0006382350217649455	0.7597247625040827	-0.6035093233558896	-0.75152119872263	-0.6391177789049471	-1.306057236180424	-0.37578122003097697	3
459	0.11061386294488676	0.8097319708658242	-0.7510657030039388	-0.8544673655839301	-0.619211926340144	-1.510461754089751	-0.47077919332017343	3
460	-0.6226082957588509	0.8712779187212862	-0.16586951542893585	0.00973540783208636	-0.559464825953341	-0.2698562443889405	-0.31244163981146456	3
461	-0.6994165576464159	0.9533495594792718	0.16408877152752466	0.6182264805603503	-0.11408051166224818	-0.028138926912192542	0.06892144989470922	3
462	-1.0182034943135208	1.0660184913080042	-0.20230260586572602	0.07490869121071651	-0.12956867481695852	-0.5243949886006946	0.16572813049744	3
463	-1.6178695896666362	1.2132296637398934	-0.4085833972948802	-0.6392122637277018	-0.4510425729941286	-0.0246197735015454	-0.08074364690497712	3
464	-1.535153322552406	1.379769050683688	-0.5606622489847793	-0.7573298448271027	-0.624638711529956	-0.021808286011622716	-0.02594956190850994	3
465	-1.0602364330391632	1.5497183391935845	-0.7146535084011629	-0.6926176031231636	-0.5382690105389317	-0.2239822838437283	0.17415174408772285	3
466	0.22644087788605594	1.7193793420820505	-0.4890011070855044	-0.46311238290948475	-0.31711942857114456	0.23185106954193335	0.05218987733976352	3
467	1.4175558792399854	1.8979572458454252	-0.10599945072761803	-0.08551635250817777	-0.33536609778089405	0.09806932849050252	0.18900069437715603	3
468	1.0691068727453876	2.0746128360341847	-0.2562355063471684	-0.29699724898188656	-0.4471788134915414	-0.5984782147997185	0.09891438336428726	3
469	2.647519779021427	2.220127726959579	-0.4191403511640214	-0.5406180534736692	-0.6401992350872396	-0.13758233065473888	-0.11517265922240258	3
470	3.172635630527625	2.3174037144687847	-0.19463920739935017	-0.5191193597684927	-0.1741873892701032	0.39828193797648764	0.07576582091499533	3
471	3.5988474399685404	2.3548168263352327	-0.5663662585420248	-0.719783440402132	0.9058583390598781	-0.3650301609966156	0.3813034232125743	3
472	3.5693623544674997	2.325771673378607	-0.8890852878138767	-0.8882097699059734	0.5882612613179581	-0.8724291501689311	0.7627483206089454	3
473	1.4065358788611562	2.2291476889251065	-0.7654845260083	-0.7398534720031898	-0.6000351582619646	-0.14701733414865234	0.704247254704233	3
